Locality,LatitudeDMS,LongitudeDMS,Latitude-Longitude,Source
Broadway,,,"33.8839° S, 151.1939° E","https://latitude.to/articles-by-country/au/australia/420830/broadway-shopping-centre#:~:text=GPS%20coordinates%20of%20Broadway%20Shopping,Latitude%3A%20%2D33.8839%20Longitude%3A%20151.1939"
Central,,,"33.8849° S, 151.2052° E","https://en.wikipedia.org/wiki/Central_railway_station,_Sydney"
Central Park,,,"33.8846° S, 151.2006° E",https://www.google.com/search?sxsrf=ALeKk02y_-vawAugFpuZEWVcbLxlqGweow%3A1615146461442&ei=3S1FYPy6Go6fgQbw5K3ADg&q=central+park%2C+sydney+australia+latitude+longitude&oq=central+park%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6BwgjELADECc6BwgAEEcQsAM6BAgjECc6BAghEApQkxtYyyNg2y1oAXACeACAAYcBiAGvBJIBAzQuMpgBAKABAaoBB2d3cy13aXrIAQnAAQE&sclient=gws-wiz&ved=0ahUKEwi8neC4-Z7vAhWOT8AKHXByC-gQ4dUDCA4&uact=5
Chinatown,,,"33.8796° S, 151.2059° E",https://www.google.com/search?sxsrf=ALeKk010V9JKcw0Mh7jkhbBk7gbxcTAqVA%3A1615146739119&ei=8y5FYIHcBoCAhbIP8fah8AI&q=chinatown%2C+sydney+australia+latitude+longitude&oq=chinatown%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6CAgAEAgQBxAeUPvnA1iT9gNgzPgDaABwAngAgAHBAYgBpQeSAQM3LjOYAQCgAQGqAQdnd3Mtd2l6wAEB&sclient=gws-wiz&ved=0ahUKEwjBoZS9-p7vAhUAQEEAHXF7CC4Q4dUDCA4&uact=5
Circular Quay,33°51'40''S, 151°12'40''E,,https://en.wikipedia.org/wiki/Circular_Quay
Darling Harbour,,,"33.8749° S, 151.2009° E",https://www.google.com/search?sxsrf=ALeKk01Uuk7AaKukvro04H3lnS9KOouB0Q%3A1615147069009&ei=PTBFYI8BtbHyAtD1iJgJ&q=darling+harbour%2C+sydney+australia+latitude+longitude&oq=darling+harbour%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6CAgAEAgQBxAeOgQIIRAKUJnYAVis9AFgzPkBaABwAngAgAGEAYgB9wmSAQQxMy4zmAEAoAEBqgEHZ3dzLXdpesABAQ&sclient=gws-wiz&ved=0ahUKEwjPk7va-57vAhW1mFwKHdA6ApMQ4dUDCA4&uact=5
The Domain,33°52'6''S, 151°12'53''E,,"https://en.wikipedia.org/wiki/The_Domain,_Sydney"
East Sydney,,,,Gap
Garden Island,,,"33.8589° S, 151.2294° E",https://www.google.com/search?sxsrf=ALeKk02avtFQ5sqzKh1m4ln4jMcRZzUewQ%3A1615147130969&ei=ejBFYOfbOo2fgQbYqKBo&q=garden+island%2C+sydney+australia+latitude+longitude&oq=garden+island%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6BAghEApQyZkBWMWoAWCeqwFoAHACeACAAVCIAZgHkgECMTSYAQCgAQGqAQdnd3Mtd2l6wAEB&sclient=gws-wiz&ved=0ahUKEwjngIH4-57vAhWNT8AKHVgUCA0Q4dUDCA4&uact=5
Goat Island,33°51?08?S, 151°11?48?E,,https://en.wikipedia.org/wiki/Goat_Island_(Port_Jackson)
Green Square,,,"33.9065° S, 151.2035° E",https://www.google.com/search?sxsrf=ALeKk02ShAk_diC406MFeh7D87ZZ-lZxmg%3A1615147153864&ei=kTBFYN2yNJDCgQbpsbjICA&q=green+square%2C+sydney+australia+latitude+longitude&oq=green+square%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6BAghEApQ0LABWMnFAWCzyAFoAHACeACAAawBiAHjCJIBBDEwLjOYAQCgAQGqAQdnd3Mtd2l6wAEB&sclient=gws-wiz&ved=0ahUKEwidv_aC_J7vAhUQYcAKHekYDokQ4dUDCA4&uact=5
Kings Cross,33°52'25''S, 151°13'25''E,,"https://en.wikipedia.org/wiki/Kings_Cross,_New_South_Wales"
Macdonaldtown,,,"33.8977° S, 151.1885° E",https://www.google.com/search?sxsrf=ALeKk02ShAk_diC406MFeh7D87ZZ-lZxmg%3A1615147153864&ei=kTBFYN2yNJDCgQbpsbjICA&q=macdonaldtown%2C+sydney+australia+latitude+longitude&oq=macdonaldtown%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6CAgAEAgQBxAeULMYWPQwYPMzaABwAngAgAFciAGaCJIBAjE0mAEAoAEBqgEHZ3dzLXdpesABAQ&sclient=gws-wiz&ved=0ahUKEwidv_aC_J7vAhUQYcAKHekYDokQ4dUDCA4&uact=5
Railway Square,,,"33.8829° S, 151.2042° E","https://en.wikipedia.org/wiki/Railway_Square,_Sydney"
Strawberry Hills,,,"33.8883° S, 151.2078° E",https://www.google.com/search?sxsrf=ALeKk03bsTx939msEET0aN6ciAVs9VeE6w%3A1615147216700&ei=0DBFYNuhKpqQ8gLBppTQDw&q=strawberry+hills%2C+sydney+australia+latitude+longitude&oq=strawberry+hills%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6BAghEApQxaMBWMm6AWCNvQFoAHACeACAAYYBiAGqCpIBBDEzLjSYAQCgAQGqAQdnd3Mtd2l6wAEB&sclient=gws-wiz&ved=0ahUKEwjbyfGg_J7vAhUaiFwKHUETBfoQ4dUDCA4&uact=5
St James,,,"33.8694° S, 151.2111° E",https://www.google.com/search?sxsrf=ALeKk03lNRd24-RCnrYgfb--lBeEw61hwA%3A1615147242001&ei=6TBFYLjYPNPVgQaBjZKQAQ&q=st+james%2C+sydney+australia+latitude+longitude&oq=st+james%2C+sydney+australia+latitude+longitude&gs_lcp=Cgdnd3Mtd2l6EAM6BAghEApQxMMBWP3PAWCO0wFoAHACeACAAUiIAaEEkgEBOZgBAKABAaoBB2d3cy13aXrAAQE&sclient=gws-wiz&ved=0ahUKEwj48Pms_J7vAhXTasAKHYGGBBIQ4dUDCA4&uact=5
Wynyard,,,"33.865648° S, 151.205514° E","https://en.wikipedia.org/wiki/Wynyard,_Sydney"
